type,postcode,name,overlap,wkt
radius,,radius,100.0,"POLYGON ((7.228414049250109 52.2212159, 7.227878248083193 52.23061545050599, 7.226273454878461 52.23996920735, 7.223607488085476 52.249231599965, 7.21989333598797 52.2583575029, 7.215149093605429 52.26730245569, 7.209397874350421 52.276022879405, 7.202667697641414 52.28447628902, 7.194991352177315 52.292621500385, 7.18640623636727 52.30041883085, 7.176954176038191 52.307830292585, 7.16668122066875 52.31481977771, 7.155637419055764 52.321353234155, 7.143876575490372 52.327398831575, 7.131455987619248 52.33292711642, 7.118436167337557 52.337911155455, 7.104880545839979 52.34232666693499, 7.090855164813094 52.346152138925, 7.076428354454717 52.34936893411999, 7.061670400744226 52.351961380625, 7.046653202967758 52.353916848275, 7.031449923383671 52.355225810255, 7.016134630857274 52.35588188942, 7.000781939943766 52.35588188942, 6.985466647417369 52.355225810255, 6.970263367833282 52.353916848275, 6.955246170056815 52.351961380625, 6.940488216346323 52.34936893411999, 6.926061405987946 52.346152138925, 6.912036024961061 52.34232666693499, 6.898480403463483 52.337911155455, 6.885460583181792 52.33292711642, 6.873039995310668 52.327398831575, 6.861279151769762 52.321353234155, 6.850235350132291 52.31481977771, 6.839962394762849 52.307830292585, 6.830510334433771 52.30041883085, 6.821925218623726 52.292621500385, 6.814248873159626 52.28447628902, 6.80751869645062 52.276022879405, 6.801767477195611 52.26730245569, 6.797023234813071 52.2583575029, 6.793309082715564 52.249231599965, 6.790643115922579 52.23996920735, 6.789038322717848 52.23061545050599, 6.788502521550932 52.2212159, 6.789038322717848 52.211816349494, 6.790643115922579 52.20246259264999, 6.793309082715564 52.19320020003499, 6.797023234813071 52.1840742971, 6.801767477195611 52.17512934430999, 6.80751869645062 52.166408920595, 6.814248873159626 52.15795551098, 6.821925218623726 52.149810299615, 6.830510334433771 52.14201296915, 6.839962394762849 52.134601507415, 6.850235350132291 52.12761202228999, 6.861279151769762 52.121078565845, 6.873039995310668 52.115032968425, 6.885460583181792 52.10950468358, 6.898480403463483 52.104520644545, 6.912036024961061 52.100105133065, 6.926061405987946 52.09627966107499, 6.940488216346323 52.09306286588, 6.955246170056815 52.090470419375, 6.970263367833282 52.088514951725, 6.985466647417369 52.08720598974499, 7.000781939943766 52.08654991058, 7.016134630857274 52.08654991058, 7.031449923383671 52.08720598974499, 7.046653202967758 52.088514951725, 7.061670400744226 52.090470419375, 7.076428354454717 52.09306286588, 7.090855164813094 52.09627966107499, 7.104880545839979 52.100105133065, 7.118436167337557 52.104520644545, 7.131455987619248 52.10950468358, 7.143876575490372 52.115032968425, 7.155637419055764 52.121078565845, 7.16668122066875 52.12761202228999, 7.176954176038191 52.134601507415, 7.18640623636727 52.14201296915, 7.194991352177315 52.149810299615, 7.202667697641414 52.15795551098, 7.209397874350421 52.166408920595, 7.215149093605429 52.17512934430999, 7.21989333598797 52.1840742971, 7.223607488085476 52.19320020003499, 7.226273454878461 52.20246259264999, 7.227878248083193 52.211816349494, 7.228414049250109 52.2212159))"
area,48455, Bad Bentheim,90.6,"POLYGON((7.072202 52.372857,7.075659 52.372585,7.077102 52.37089,7.077976 52.370642,7.078414 52.362851,7.081452 52.363266,7.084 52.363926,7.086135 52.36518,7.096132 52.360751,7.099829 52.359728,7.098029 52.358507,7.094603 52.354394,7.097077 52.33945,7.108333 52.337961,7.111776 52.336831,7.116192 52.333816,7.118951 52.327269,7.125724 52.326772,7.122997 52.332176,7.13431 52.333056,7.143335 52.334544,7.149763 52.336828,7.153376 52.33762,7.154401 52.335766,7.156498 52.326838,7.161156 52.328041,7.170335 52.325978,7.176266 52.322385,7.178517 52.319785,7.182125 52.319114,7.185059 52.320288,7.186088 52.319483,7.184122 52.318409,7.183493 52.317333,7.184882 52.316559,7.187621 52.315955,7.189216 52.31664,7.188326 52.318898,7.189536 52.319511,7.190144 52.317687,7.192743 52.319333,7.191765 52.319462,7.192377 52.320654,7.194245 52.320507,7.194521 52.317156,7.196442 52.315563,7.1985 52.315233,7.206765 52.315312,7.207623 52.314114,7.205795 52.312845,7.202341 52.312179,7.200652 52.30941,7.201324 52.308351,7.194645 52.30717,7.188705 52.306576,7.189364 52.305071,7.18901 52.304969,7.189293 52.304145,7.190166 52.303545,7.193666 52.304275,7.193499 52.30558,7.191585 52.305526,7.191232 52.304794,7.190215 52.304713,7.189761 52.306494,7.194587 52.30697,7.194849 52.304317,7.193781 52.304273,7.194138 52.302788,7.197631 52.300064,7.194463 52.297079,7.204147 52.272438,7.208017 52.26486,7.198972 52.264989,7.198926 52.26481,7.19676 52.264881,7.196775 52.265023,7.180889 52.265359,7.180894 52.265534,7.175754 52.26574,7.175698 52.265462,7.162839 52.265973,7.162797 52.266271,7.155637 52.266488,7.145732 52.26497,7.145825 52.26476,7.142157 52.264214,7.142126 52.264359,7.121095 52.261075,7.121535 52.260385,7.121425 52.259786,7.120911 52.259389,7.120704 52.258264,7.119965 52.258027,7.119979 52.257577,7.120397 52.257432,7.119718 52.256665,7.117092 52.256207,7.116777 52.256532,7.115673 52.256215,7.1137 52.25641,7.113034 52.255963,7.112788 52.255372,7.113179 52.255074,7.111471 52.253773,7.111167 52.253957,7.109394 52.252728,7.109797 52.252537,7.109535 52.25211,7.109843 52.251108,7.109799 52.250688,7.109296 52.250665,7.109239 52.248861,7.109819 52.248872,7.109371 52.24709,7.108937 52.24719,7.10671 52.246102,7.107027 52.245755,7.105896 52.245305,7.105738 52.244836,7.105239 52.244763,7.105065 52.244496,7.101786 52.243458,7.101651 52.243729,7.098964 52.242738,7.06579 52.241235,7.042395 52.256144,7.032063 52.271664,7.028584 52.273627,7.02752 52.277986,7.027984 52.278936,7.029614 52.28018,7.029548 52.281526,7.026239 52.287324,7.026454 52.291968,7.033837 52.302505,7.039493 52.307627,7.040538 52.310224,7.041313 52.311143,7.038683 52.31238,7.04357 52.313471,7.043288 52.313882,7.046239 52.31469,7.047421 52.315206,7.04636 52.316622,7.045787 52.316443,7.047479 52.31845,7.047669 52.319517,7.04811 52.319949,7.047237 52.321292,7.046956 52.322829,7.04718 52.323744,7.048027 52.324933,7.055493 52.332169,7.054965 52.332723,7.054918 52.333177,7.056148 52.334956,7.056231 52.337954,7.072256 52.351879,7.07205 52.35652,7.072763 52.366805,7.072259 52.368008,7.072202 52.372857))"
area,48465," Engden, Isterberg, SchÃ¼ttorf u.a.",1.7,"POLYGON((7.099829 52.359728,7.119723 52.361875,7.127928 52.366099,7.128223 52.365941,7.135554 52.367252,7.140312 52.36822,7.151514 52.3715,7.176867 52.379448,7.175166 52.380628,7.172569 52.384416,7.170621 52.386233,7.169784 52.386596,7.168573 52.386822,7.166553 52.386814,7.161021 52.387573,7.156301 52.390813,7.153413 52.39192,7.151612 52.393015,7.150668 52.393269,7.149446 52.393256,7.147195 52.39255,7.14593 52.393005,7.145061 52.393933,7.142686 52.394644,7.141994 52.394775,7.138648 52.394321,7.137915 52.394437,7.13078 52.396764,7.127443 52.398554,7.125042 52.400215,7.127195 52.401183,7.128013 52.400759,7.14035 52.40208,7.168209 52.42139,7.203065 52.443903,7.211601 52.448937,7.212518 52.446828,7.216852 52.438394,7.216607 52.438303,7.220951 52.42991,7.221344 52.429838,7.221513 52.429525,7.234552 52.403684,7.231601 52.402219,7.236133 52.395589,7.23926 52.390603,7.240074 52.388764,7.250536 52.362512,7.250847 52.362519,7.25337 52.353738,7.255537 52.347027,7.256533 52.344922,7.257017 52.343339,7.256631 52.343304,7.257648 52.340753,7.258664 52.33933,7.261333 52.336785,7.266694 52.332727,7.266975 52.332876,7.269253 52.331025,7.268938 52.3309,7.271959 52.328629,7.272177 52.328774,7.282326 52.320428,7.290038 52.310246,7.298986 52.300866,7.301847 52.298516,7.308001 52.289418,7.317313 52.280233,7.297816 52.26381,7.295496 52.264226,7.294036 52.264283,7.282508 52.264024,7.281793 52.264071,7.281653 52.264283,7.278671 52.264142,7.278613 52.263867,7.27225 52.264088,7.241907 52.264077,7.218268 52.264381,7.208017 52.26486,7.204147 52.272438,7.194463 52.297079,7.197631 52.300064,7.194138 52.302788,7.193781 52.304273,7.194849 52.304317,7.194587 52.30697,7.189761 52.306494,7.190215 52.304713,7.191232 52.304794,7.191585 52.305526,7.193499 52.30558,7.193666 52.304275,7.190166 52.303545,7.189293 52.304145,7.18901 52.304969,7.189364 52.305071,7.188705 52.306576,7.194645 52.30717,7.201324 52.308351,7.200652 52.30941,7.202341 52.312179,7.205795 52.312845,7.207623 52.314114,7.206765 52.315312,7.1985 52.315233,7.196442 52.315563,7.194521 52.317156,7.194245 52.320507,7.192377 52.320654,7.191765 52.319462,7.192743 52.319333,7.190144 52.317687,7.189536 52.319511,7.188326 52.318898,7.189216 52.31664,7.187621 52.315955,7.184882 52.316559,7.183493 52.317333,7.184122 52.318409,7.186088 52.319483,7.185059 52.320288,7.182125 52.319114,7.178517 52.319785,7.176266 52.322385,7.170335 52.325978,7.161156 52.328041,7.156498 52.326838,7.154401 52.335766,7.153376 52.33762,7.149763 52.336828,7.143335 52.334544,7.13431 52.333056,7.122997 52.332176,7.125724 52.326772,7.118951 52.327269,7.116192 52.333816,7.111776 52.336831,7.108333 52.337961,7.097077 52.33945,7.094603 52.354394,7.098029 52.358507,7.099829 52.359728))"
area,48493, Wettringen,0.8,"POLYGON((7.218268 52.264381,7.241907 52.264077,7.27225 52.264088,7.278613 52.263867,7.278671 52.264142,7.281653 52.264283,7.281793 52.264071,7.282508 52.264024,7.294036 52.264283,7.295496 52.264226,7.297816 52.26381,7.317313 52.280233,7.329461 52.281293,7.330505 52.262242,7.332136 52.258918,7.329127 52.257959,7.329914 52.256615,7.327687 52.255777,7.330931 52.253259,7.329851 52.252615,7.329844 52.25207,7.327865 52.251837,7.326778 52.251939,7.327063 52.249364,7.326223 52.248979,7.326727 52.247229,7.325883 52.247226,7.324802 52.244284,7.325676 52.244183,7.325457 52.239817,7.325832 52.239668,7.325412 52.239221,7.325234 52.235721,7.325558 52.235516,7.327078 52.235823,7.327644 52.235548,7.329087 52.235636,7.329949 52.235142,7.330762 52.232493,7.332677 52.231335,7.333917 52.229975,7.334754 52.229684,7.337852 52.229552,7.341228 52.228279,7.343591 52.22688,7.344716 52.22446,7.344558 52.224074,7.344921 52.223896,7.344694 52.223622,7.345076 52.223209,7.348944 52.221887,7.349132 52.220088,7.349806 52.219466,7.349174 52.21891,7.349015 52.217109,7.349198 52.216789,7.349641 52.216732,7.350428 52.215505,7.352852 52.213306,7.353782 52.212845,7.3558 52.212477,7.358545 52.212575,7.360935 52.213167,7.361781 52.212854,7.362364 52.211961,7.360965 52.209553,7.359509 52.208626,7.35779 52.208037,7.358547 52.207325,7.358527 52.206427,7.358941 52.206252,7.362017 52.201002,7.363338 52.199699,7.368128 52.196001,7.369535 52.195008,7.370817 52.196697,7.377142 52.195625,7.378144 52.195605,7.380635 52.195846,7.384093 52.196657,7.384255 52.196498,7.382846 52.196166,7.382043 52.195691,7.383429 52.195499,7.383837 52.19567,7.384934 52.195667,7.385993 52.194907,7.385421 52.19476,7.387452 52.194721,7.387285 52.194329,7.388289 52.193412,7.387713 52.193348,7.387632 52.193018,7.385359 52.191098,7.382655 52.189647,7.381151 52.190192,7.379941 52.189584,7.369795 52.189235,7.360133 52.188586,7.35436 52.188629,7.332388 52.190472,7.3234 52.189801,7.317926 52.189885,7.303197 52.193031,7.299739 52.187759,7.296745 52.187006,7.289916 52.191676,7.294318 52.194785,7.281422 52.210097,7.281375 52.212262,7.276708 52.212071,7.275183 52.212724,7.271012 52.213061,7.268355 52.213545,7.266963 52.213436,7.26582 52.212898,7.265327 52.21193,7.264838 52.212075,7.264642 52.212639,7.261142 52.21266,7.260925 52.213299,7.259421 52.213136,7.259258 52.21376,7.258685 52.213766,7.258662 52.214121,7.257599 52.214032,7.256514 52.213577,7.256247 52.213793,7.253825 52.213296,7.251485 52.213079,7.246648 52.215904,7.244819 52.217567,7.244875 52.218104,7.216447 52.25319,7.218268 52.264381))"
area,48599, Gronau,100.0,"POLYGON((6.951245 52.181058,6.954725 52.183953,6.954461 52.184079,6.95645 52.185564,6.957383 52.187028,6.962021 52.190891,6.962479 52.191379,6.962131 52.192254,6.962392 52.194299,6.964148 52.195374,6.964685 52.196241,6.967397 52.197894,6.967247 52.198039,6.970903 52.20298,6.974085 52.205403,6.976304 52.210174,6.97846 52.212149,6.979522 52.214216,6.979573 52.216852,6.979998 52.217897,6.979707 52.218214,6.980593 52.219352,6.981281 52.221182,6.982701 52.222328,6.984409 52.222843,6.984442 52.223184,6.985353 52.223478,6.985474 52.224147,6.984962 52.224936,6.985315 52.225347,6.985731 52.225199,6.98712 52.225441,6.987996 52.226039,6.988859 52.226301,6.989114 52.226843,6.989958 52.227004,6.992158 52.227253,6.994574 52.226969,6.996999 52.227059,7.003476 52.22859,7.011221 52.227592,7.011787 52.226883,7.012653 52.226806,7.012416 52.227046,7.013082 52.227347,7.014728 52.22647,7.017695 52.225773,7.019171 52.225052,7.02045 52.225939,7.026398 52.225715,7.039094 52.227574,7.061284 52.234711,7.06579 52.241235,7.098964 52.242738,7.100232 52.242437,7.100692 52.24201,7.100564 52.241636,7.100893 52.241647,7.100615 52.241227,7.097166 52.239583,7.096745 52.2392,7.096352 52.218304,7.095495 52.209672,7.095477 52.205785,7.095103 52.205594,7.095108 52.205278,7.095415 52.205183,7.095407 52.203437,7.094598 52.203108,7.095348 52.202165,7.095722 52.202176,7.096128 52.20094,7.097891 52.198248,7.098439 52.198034,7.099761 52.198301,7.100204 52.198217,7.100179 52.197717,7.100814 52.19716,7.099784 52.196748,7.09928 52.19695,7.096323 52.181481,7.100006 52.175673,7.100499 52.175879,7.101777 52.174203,7.102809 52.17355,7.102111 52.172262,7.084797 52.168389,7.074047 52.161795,7.067543 52.15636,7.065006 52.15391,7.062721 52.150234,7.060497 52.150656,7.05933 52.150651,7.059287 52.150038,7.059812 52.149997,7.060116 52.149171,7.059254 52.14803,7.059567 52.147952,7.059188 52.143776,7.056657 52.136887,7.042197 52.135557,7.041456 52.136209,7.040915 52.136224,7.036364 52.135316,7.032955 52.135124,7.031597 52.134865,7.029267 52.135228,7.027685 52.135731,7.027131 52.135455,7.02145 52.138452,7.020571 52.137803,7.016933 52.139625,7.016248 52.139272,7.011688 52.143575,7.012212 52.144229,7.006582 52.150579,6.992303 52.159602,6.992102 52.160433,6.983429 52.158635,6.979654 52.163904,6.96649 52.163246,6.965487 52.167058,6.962793 52.173052,6.961142 52.171284,6.956661 52.172966,6.956093 52.174519,6.953259 52.174097,6.95329 52.179958,6.950419 52.180314,6.951245 52.181058))"
area,48607, Ochtrup,80.0,"POLYGON((7.098964 52.242738,7.101651 52.243729,7.101786 52.243458,7.105065 52.244496,7.105239 52.244763,7.105738 52.244836,7.105896 52.245305,7.107027 52.245755,7.10671 52.246102,7.108937 52.24719,7.109371 52.24709,7.109819 52.248872,7.109239 52.248861,7.109296 52.250665,7.109799 52.250688,7.109843 52.251108,7.109535 52.25211,7.109797 52.252537,7.109394 52.252728,7.111167 52.253957,7.111471 52.253773,7.113179 52.255074,7.112788 52.255372,7.113034 52.255963,7.1137 52.25641,7.115673 52.256215,7.116777 52.256532,7.117092 52.256207,7.119718 52.256665,7.120397 52.257432,7.119979 52.257577,7.119965 52.258027,7.120704 52.258264,7.120911 52.259389,7.121425 52.259786,7.121535 52.260385,7.121095 52.261075,7.142126 52.264359,7.142157 52.264214,7.145825 52.26476,7.145732 52.26497,7.155637 52.266488,7.162797 52.266271,7.162839 52.265973,7.175698 52.265462,7.175754 52.26574,7.180894 52.265534,7.180889 52.265359,7.196775 52.265023,7.19676 52.264881,7.198926 52.26481,7.198972 52.264989,7.208017 52.26486,7.218268 52.264381,7.216447 52.25319,7.244875 52.218104,7.244819 52.217567,7.246648 52.215904,7.251485 52.213079,7.253825 52.213296,7.256247 52.213793,7.256514 52.213577,7.257599 52.214032,7.258662 52.214121,7.258685 52.213766,7.259258 52.21376,7.259421 52.213136,7.260925 52.213299,7.261142 52.21266,7.264642 52.212639,7.264838 52.212075,7.265327 52.21193,7.26582 52.212898,7.266963 52.213436,7.268355 52.213545,7.271012 52.213061,7.275183 52.212724,7.276708 52.212071,7.281375 52.212262,7.281422 52.210097,7.294318 52.194785,7.289916 52.191676,7.296745 52.187006,7.285346 52.184258,7.278084 52.179965,7.260933 52.166543,7.261192 52.164712,7.246511 52.166336,7.231946 52.180236,7.217152 52.184809,7.21131 52.176153,7.190773 52.163667,7.168896 52.165343,7.154241 52.167208,7.15079 52.1661,7.150123 52.16639,7.149832 52.166197,7.145478 52.168621,7.144968 52.169145,7.138478 52.172383,7.136787 52.173928,7.134516 52.175237,7.133946 52.174867,7.133029 52.174908,7.132252 52.175542,7.132511 52.175614,7.132138 52.176274,7.133163 52.177518,7.128805 52.178895,7.124011 52.181134,7.11831 52.18538,7.113309 52.188363,7.113292 52.188741,7.105907 52.190926,7.106937 52.191407,7.106008 52.192078,7.1077 52.192868,7.106917 52.19336,7.106133 52.193192,7.105351 52.193692,7.104145 52.193147,7.102545 52.194039,7.10171 52.193505,7.099834 52.194734,7.100399 52.195211,7.100067 52.19547,7.100176 52.196107,7.099784 52.196748,7.100814 52.19716,7.100179 52.197717,7.100204 52.198217,7.099761 52.198301,7.098439 52.198034,7.097891 52.198248,7.096128 52.20094,7.095722 52.202176,7.095348 52.202165,7.094598 52.203108,7.095407 52.203437,7.095415 52.205183,7.095108 52.205278,7.095103 52.205594,7.095477 52.205785,7.095495 52.209672,7.096352 52.218304,7.096745 52.2392,7.097166 52.239583,7.100615 52.241227,7.100893 52.241647,7.100564 52.241636,7.100692 52.24201,7.100232 52.242437,7.098964 52.242738))"
area,48619, Heek,90.0,"POLYGON((7.027131 52.135455,7.027685 52.135731,7.029267 52.135228,7.031597 52.134865,7.032955 52.135124,7.036364 52.135316,7.040915 52.136224,7.041456 52.136209,7.042197 52.135557,7.056657 52.136887,7.059188 52.143776,7.059567 52.147952,7.059254 52.14803,7.060116 52.149171,7.059812 52.149997,7.059287 52.150038,7.05933 52.150651,7.060497 52.150656,7.062721 52.150234,7.065006 52.15391,7.067543 52.15636,7.074047 52.161795,7.084797 52.168389,7.102111 52.172262,7.102809 52.17355,7.101777 52.174203,7.100499 52.175879,7.100006 52.175673,7.096323 52.181481,7.09928 52.19695,7.099784 52.196748,7.100176 52.196107,7.100067 52.19547,7.100399 52.195211,7.099834 52.194734,7.10171 52.193505,7.102545 52.194039,7.104145 52.193147,7.105351 52.193692,7.106133 52.193192,7.106917 52.19336,7.1077 52.192868,7.106008 52.192078,7.106937 52.191407,7.105907 52.190926,7.113292 52.188741,7.113309 52.188363,7.11831 52.18538,7.124011 52.181134,7.128805 52.178895,7.133163 52.177518,7.132138 52.176274,7.132511 52.175614,7.132252 52.175542,7.133029 52.174908,7.133946 52.174867,7.134516 52.175237,7.136787 52.173928,7.138478 52.172383,7.144968 52.169145,7.145478 52.168621,7.149832 52.166197,7.150123 52.16639,7.15079 52.1661,7.145161 52.162477,7.139632 52.158292,7.139562 52.157971,7.137695 52.156273,7.135232 52.154732,7.151323 52.13648,7.167369 52.1312,7.174366 52.129216,7.172875 52.128534,7.161446 52.114922,7.158564 52.115692,7.152895 52.110537,7.145427 52.106385,7.140805 52.108261,7.139238 52.108265,7.137674 52.104999,7.13375 52.106717,7.132447 52.104261,7.132112 52.101768,7.130687 52.102207,7.124471 52.100328,7.118785 52.098974,7.115277 52.098917,7.115434 52.100494,7.110767 52.10111,7.107196 52.101052,7.105881 52.098455,7.109671 52.095126,7.107181 52.089573,7.10217 52.089188,7.089914 52.090286,7.08181 52.084897,7.067299 52.080002,7.062327 52.081313,7.056767 52.083345,7.055122 52.084115,7.055374 52.084434,7.049309 52.086742,7.046396 52.08696,7.044747 52.087724,7.04324 52.087373,7.040134 52.089921,7.039584 52.090864,7.036906 52.092067,7.033499 52.092555,7.031825 52.092479,7.024032 52.099221,7.018494 52.102531,7.014109 52.106594,7.013508 52.108672,7.01421 52.109072,7.014485 52.111303,7.014084 52.111734,7.015763 52.112611,7.015788 52.113319,7.017016 52.115565,7.017793 52.116166,7.017843 52.116673,7.017166 52.117043,7.016089 52.117243,7.015788 52.117735,7.015989 52.119258,7.020917 52.118971,7.021078 52.119874,7.022895 52.11955,7.023046 52.12034,7.030821 52.126312,7.033629 52.13218,7.027112 52.134711,7.027131 52.135455))"
area,48624, SchÃ¶ppingen,0.0,"POLYGON((7.10217 52.089188,7.107181 52.089573,7.109671 52.095126,7.105881 52.098455,7.107196 52.101052,7.110767 52.10111,7.115434 52.100494,7.115277 52.098917,7.118785 52.098974,7.124471 52.100328,7.130687 52.102207,7.132112 52.101768,7.132447 52.104261,7.13375 52.106717,7.137674 52.104999,7.139238 52.108265,7.140805 52.108261,7.145427 52.106385,7.152895 52.110537,7.158564 52.115692,7.161446 52.114922,7.172875 52.128534,7.174366 52.129216,7.196366 52.121781,7.216585 52.115991,7.22123 52.117283,7.223466 52.117566,7.223441 52.118019,7.225128 52.118215,7.224937 52.119331,7.227255 52.119449,7.231167 52.119032,7.23351 52.118997,7.233902 52.119612,7.234833 52.119523,7.234762 52.118975,7.238028 52.12032,7.239309 52.120337,7.240659 52.119814,7.245174 52.119735,7.247155 52.119437,7.251013 52.119521,7.251518 52.116798,7.253485 52.117239,7.253416 52.115159,7.254632 52.115014,7.254393 52.113291,7.25364 52.113292,7.254076 52.110381,7.256054 52.108605,7.253904 52.106889,7.261401 52.10458,7.262451 52.103042,7.264632 52.103567,7.266781 52.100412,7.267172 52.100454,7.268625 52.098313,7.266047 52.09778,7.267106 52.096197,7.26842 52.090641,7.268878 52.09024,7.262388 52.089096,7.262239 52.086669,7.260945 52.08401,7.260409 52.082071,7.267412 52.080826,7.267016 52.080379,7.26628 52.07743,7.266134 52.075932,7.266477 52.07484,7.269764 52.075041,7.26972 52.073292,7.27449 52.070884,7.274112 52.070485,7.274248 52.070306,7.272692 52.069614,7.272193 52.069175,7.271389 52.068982,7.274164 52.066068,7.267045 52.06318,7.268428 52.061219,7.268347 52.060657,7.266583 52.05988,7.267243 52.05787,7.265781 52.057511,7.265486 52.056674,7.264293 52.056671,7.264051 52.056174,7.263451 52.05622,7.261598 52.054825,7.250507 52.052006,7.250727 52.051831,7.249797 52.050503,7.250197 52.049424,7.249875 52.048345,7.247493 52.047364,7.24684 52.046869,7.24443 52.043401,7.240249 52.043057,7.238103 52.043862,7.224938 52.046643,7.224452 52.046663,7.221408 52.045011,7.221108 52.045133,7.219004 52.044816,7.21825 52.04503,7.216244 52.044766,7.216197 52.04461,7.214928 52.044576,7.214616 52.044782,7.212695 52.044644,7.21262 52.044438,7.210382 52.04456,7.210479 52.044679,7.208081 52.045022,7.207524 52.04485,7.205525 52.045674,7.20162 52.046338,7.201189 52.046643,7.199178 52.047159,7.197672 52.047388,7.195487 52.047202,7.195161 52.047728,7.190024 52.047753,7.190002 52.048136,7.186201 52.048238,7.186136 52.047983,7.185704 52.048092,7.18545 52.047864,7.18412 52.04801,7.181677 52.047531,7.181211 52.047736,7.182078 52.048255,7.185466 52.048709,7.18061 52.051803,7.182099 52.052611,7.18084 52.053167,7.178552 52.053706,7.177223 52.053769,7.17553 52.05353,7.176141 52.054939,7.175156 52.055222,7.173974 52.055186,7.174993 52.057961,7.165252 52.064682,7.164657 52.063796,7.155949 52.067282,7.158549 52.070824,7.146647 52.071036,7.143232 52.073731,7.125598 52.074116,7.118206 52.075541,7.10217 52.089188))"
area,48629, Metelen,32.9,"POLYGON((7.15079 52.1661,7.154241 52.167208,7.168896 52.165343,7.190773 52.163667,7.21131 52.176153,7.217152 52.184809,7.231946 52.180236,7.246511 52.166336,7.261192 52.164712,7.262239 52.161535,7.262906 52.15612,7.264282 52.15352,7.266203 52.152292,7.267852 52.148806,7.267388 52.147092,7.269926 52.143888,7.271993 52.143406,7.266966 52.136852,7.241764 52.137859,7.2446 52.13006,7.247595 52.125038,7.246572 52.124916,7.248234 52.122826,7.249002 52.122891,7.251295 52.119636,7.251013 52.119521,7.247155 52.119437,7.245174 52.119735,7.240659 52.119814,7.239309 52.120337,7.238028 52.12032,7.234762 52.118975,7.234833 52.119523,7.233902 52.119612,7.23351 52.118997,7.231167 52.119032,7.227255 52.119449,7.224937 52.119331,7.225128 52.118215,7.223441 52.118019,7.223466 52.117566,7.22123 52.117283,7.216585 52.115991,7.196366 52.121781,7.174366 52.129216,7.167369 52.1312,7.151323 52.13648,7.135232 52.154732,7.137695 52.156273,7.139562 52.157971,7.139632 52.158292,7.145161 52.162477,7.15079 52.1661))"
area,48683, Ahaus,52.2,"POLYGON((6.866945 52.127969,6.870872 52.129169,6.871043 52.129521,6.871896 52.13,6.873459 52.130284,6.873034 52.131937,6.873301 52.132974,6.88196 52.155977,6.880458 52.15601,6.896662 52.164974,6.900835 52.167058,6.90572 52.169915,6.905894 52.170067,6.905589 52.170658,6.905878 52.171546,6.905588 52.172184,6.90596 52.172669,6.905839 52.173794,6.906746 52.175068,6.908104 52.175464,6.908061 52.17596,6.911852 52.177145,6.915629 52.177614,6.933742 52.178448,6.93628 52.178748,6.937884 52.179467,6.949506 52.180505,6.95037 52.181129,6.951245 52.181058,6.950419 52.180314,6.95329 52.179958,6.953259 52.174097,6.956093 52.174519,6.956661 52.172966,6.961142 52.171284,6.962793 52.173052,6.965487 52.167058,6.96649 52.163246,6.979654 52.163904,6.983429 52.158635,6.992102 52.160433,6.992303 52.159602,7.006582 52.150579,7.012212 52.144229,7.011688 52.143575,7.016248 52.139272,7.016933 52.139625,7.020571 52.137803,7.02145 52.138452,7.027131 52.135455,7.027112 52.134711,7.033629 52.13218,7.030821 52.126312,7.023046 52.12034,7.022895 52.11955,7.021078 52.119874,7.020917 52.118971,7.015989 52.119258,7.015788 52.117735,7.016089 52.117243,7.017166 52.117043,7.017843 52.116673,7.017793 52.116166,7.017016 52.115565,7.015788 52.113319,7.015763 52.112611,7.014084 52.111734,7.014485 52.111303,7.01421 52.109072,7.013508 52.108672,7.014109 52.106594,7.018494 52.102531,7.024032 52.099221,7.031825 52.092479,7.033499 52.092555,7.036906 52.092067,7.039584 52.090864,7.040134 52.089921,7.04324 52.087373,7.044747 52.087724,7.046396 52.08696,7.049309 52.086742,7.055374 52.084434,7.055122 52.084115,7.056767 52.083345,7.062327 52.081313,7.067299 52.080002,7.064999 52.071635,7.052019 52.059327,7.054371 52.058528,7.05307 52.057151,7.051249 52.057019,7.049293 52.055366,7.048485 52.053316,7.046644 52.053579,7.041507 52.046624,7.041797 52.044297,7.041464 52.042767,7.042102 52.042721,7.042158 52.041296,7.042997 52.039639,7.042362 52.039408,7.043582 52.029958,7.039273 52.021056,7.03801 52.02129,7.023597 52.022366,6.990337 52.025323,6.968412 52.029193,6.952602 52.025503,6.945754 52.029164,6.938618 52.036873,6.935843 52.039061,6.936207 52.039414,6.93429 52.040121,6.934508 52.042304,6.933431 52.043743,6.930472 52.04489,6.9292 52.045152,6.927406 52.046113,6.926595 52.046316,6.910965 52.044535,6.901207 52.0598,6.901074 52.062219,6.898621 52.069658,6.898887 52.070003,6.897233 52.072252,6.886712 52.072067,6.887063 52.076693,6.886741 52.076588,6.885897 52.077789,6.883809 52.077582,6.883375 52.078565,6.883538 52.079282,6.882083 52.079051,6.881516 52.081385,6.879165 52.081077,6.878796 52.082017,6.87498 52.081406,6.87574 52.085093,6.881 52.085973,6.879142 52.090346,6.888319 52.092796,6.887629 52.094259,6.890587 52.094686,6.892242 52.094728,6.890865 52.096695,6.892636 52.097161,6.889963 52.10096,6.898882 52.099328,6.899283 52.102134,6.900165 52.104431,6.896757 52.107124,6.89791 52.108878,6.895028 52.111525,6.866945 52.127969))"
